START_TIME,END_TIME,LOCATION
4/20/2023  09:00,4/20/2023  11:02,OFFICE2
4/20/2023  11:03,4/20/2023  11:08,OFFICE2 CAFFETERIA
4/20/2023  11:12,4/20/2023  11:31,ON ROAD BY CHAUFFERED CAR
4/20/2023  11:32,4/20/2023  13:05,OFFICE1
4/20/2023  13:05,4/20/2023  13:33,OFFICE1 CAFFETERIA
4/20/2023  13:34,4/20/2023  14:00,ON ROAD BY CHAUFFERED CAR
4/20/2023  14:02,4/20/2023  15:33,OFFICE2
4/20/2023  15:34,4/20/2023  16:00,ON ROAD BY CHAUFFERED CAR
4/20/2023  16:01,4/20/2023  18:00,HOME
4/20/2023  18:02,4/20/2023  18:30,PARK
4/20/2023  18:35,4/20/2023  18:55,HOME
4/20/2023  19:00,4/20/2023  19:30,HOME
4/20/2023  19:35,4/20/2023  20:15,ON ROAD 
4/20/2023  20:30,4/20/2023  22:35,MUSIC ACADEMY
4/20/2023  22:45,4/20/2023  23:20,ON ROAD 
4/21/2023 06:08,4/21/2023 06:28,HOME
4/21/2023 06:31,4/21/2023 07:30,YOGA CENTER
4/21/2023 07:35,4/21/2023 07:59,HOME
4/21/2023 08:11,4/21/2023 08:34,HOME
4/21/2023 08:34,4/21/2023 08:55,ON ROAD BY CHAUFFERED CAR
4/21/2023 09:00,4/21/2023 11:01,OFFICE1  (MD's CONFERENCE)
4/21/2023 11:03,4/21/2023 11:10,OFFICE1  (MD's OFFICE)
4/21/2023 11:10,4/21/2023 11:30,ON ROAD BY CHAUFFERED CAR
4/21/2023 11:31,4/21/2023 12:45,OFFICE2
4/21/2023 13:00,4/21/2023 13:30,OFFICE2 (CONFERENCE ROOM)
4/21/2023 13:30,4/21/2023 15:30,OFFICE2 (CONFERENCE ROOM)
4/21/2023 15:34,4/21/2023 16:00,OFFICE2 (CONFERENCE ROOM)
4/21/2023 16:01,4/21/2023 17:43,OFFICE2
4/21/2023 17:45,4/21/2023 18:08,ON ROAD BY CHAUFFERED CAR
4/21/2023 18:15,4/21/2023 18:40,PARK
4/21/2023 18:45,4/21/2023 19:06,HOME
4/21/2023 19:15,4/21/2023 19:54,HOME
4/21/2023 20:00,4/21/2023 23:00,HOME
4/22/1923  06:01,4/22/1923  06:24,HOME
4/22/1923   06:30,4/22/1923  08:00,YOGA CENTER
4/22/1923   08:00,4/22/1923  08:34,HOME
4/22/1923   08:45,4/22/1923  09:00,HOME
4/22/1923  09:00,4/22/1923  11:20,HOME
4/22/1923  11:40,4/22/1923  12:30,SUPERMART
4/22/1923  12:30,4/22/1923  12:57,HOME
4/22/1923   13:05,4/22/1923  13:33,HOME
4/22/1923  13:34,4/22/1923  14:34,HOME
4/22/1923  14:45,4/22/1923  15:11,HOME
4/22/1923   15:14,4/22/1923  16:30,HOME
4/22/1923   16:30,4/22/1923  18:00,HOME
4/22/1923  18:03,4/22/1923  18:50,PARK
4/22/1923  18:58,4/22/1923  19:20,HOME
4/22/1923   19:28,4/22/1923  19:51,HOME
4/22/1923  20:02,4/22/1923  22:35,HOME
4/22/1923  22:40,4/22/1923  23:05,HOME
4/23/1823  06:01,4/23/1823  06:24,HOME
4/23/1823   06:30,4/23/1823  08:00,YOGA CENTER
4/23/1823   08:00,4/23/1823  08:34,HOME
4/23/1823   08:45,4/23/1823  10:30,RESTAURANT (ALUMI MEET)
4/23/1823  10:45,4/23/1823  13:30,HOME
4/23/1823   13:30,4/23/1823  14:00,HOME
4/23/1823  14:00,4/23/1823  14:45,HOME
4/23/1823  14:45,4/23/1823  15:11,HOME
4/23/1823  15:45,4/23/1823  16:30,ON ROAD 
4/23/1823   16:30,4/23/1823  19:15,THEATRE
4/23/1823   19:15,4/23/1823  21:15,RESTAURANT (WITH FAMILY)
4/23/1823  21:30,4/23/1823  22:13,ON ROAD 
